Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,,
Information Technology,Specialization / Activities,Programming,Experience,Defining the Specification,,,,
Information Technology,Specialization / Activities,Programming,Experience,Writing Code,,,,
Information Technology,Specialization / Activities,Programming,Experience,Debuging,,,,
Information Technology,Specialization / Activities,Programming,Experience,Compiling Code,,,,
Information Technology,Specialization / Activities,Programming,Experience,Unit Testing,,,,
Information Technology,Specialization / Activities,Programming,Experience,Using Software Libraries,,,,
Information Technology,Specialization / Activities,Programming,Programming for,Shell Scripting,,,,
Information Technology,Specialization / Activities,Programming,Programming for,Scripting for Automation,,,,
Information Technology,Specialization / Activities,Programming,Programming for,Front End Programming/Scripting,,,,
Information Technology,Specialization / Activities,Programming,Programming for,Server Side Programming,,,,
Information Technology,Specialization / Activities,Programming,Programming for,Socket Programming,,,,
Information Technology,Specialization / Activities,Programming,Programming for,Kernel Programming,,,,
Information Technology,Specialization / Activities,Programming,Programming for,Compiler Development,,,,
Information Technology,Specialization / Activities,Programming,Programming for,Writing Regex Functions?,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Analyzing the Business Requirement,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Creating the System Design / Architecture,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Defining / Writing Specifications,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Programming,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Database Development,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Database Queries,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Performing System Integration,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Compliance to Standards,,,,
Information Technology,Specialization / Activities,Software Development,Experience,Full Stack Development,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Desktop Application,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Web application,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Mobile Application,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Client Server Application,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,SAAS Application,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Cloud based Application,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Enterprise Application,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Firmware,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Embedded System,,,,
Information Technology,Specialization / Activities,Software Development,Type of Software,Real Time Systems,,,,
Information Technology,Specialization / Activities,Testing,Experience,Creating Test Strategy,,,,
Information Technology,Specialization / Activities,Testing,Experience,Writing Test Plan,,,,
Information Technology,Specialization / Activities,Testing,Experience,Writing Test Cases,,,,
Information Technology,Specialization / Activities,Testing,Experience,Perform Testing,,,,
Information Technology,Specialization / Activities,Testing,Experience,Writing Scripts / Scripting,,,,
Information Technology,Specialization / Activities,Testing,Experience,File/ Submit Bugs,,,,
Information Technology,Specialization / Activities,Testing,Experience,Perform Analysis of Bugs,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,API Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Automated Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Black-Box Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Compatibility Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Functional Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Integration Acceptance Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Integration Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Keyword-Driven Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Load Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Manual Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Operational Acceptance Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Penetration Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Performance Testing,,,,
